Issue,Count,Summary
CUM,83," DNR chose not to examine the cumulative impacts of this scale of development on the Superior, they chose to ignore the elephant in the room . Hard, scientific facts have been ignored, including those related to health issues . I think the overall net loss of high quality vegetation, rare species and wildlife habitat and corridors is unacceptable ."
GT,78, PolyMet proposes storing billions of gallons of toxic mine waste behind a forty year old leaky dam . The public demanded to know how PolyMet would deal with such a failure . PolyMet simply asserts that the chances of such failure are too remote to even be considered in the EIS .
AIR,72," Minnesota’s gross emissions of GHGs grew by 32% between 1990 and 2005, twice the national average of 16% . PolyMet project will emit more than 10 tons of sulfuric acid . The FEIS (Table 5.7-1) is incomplete; it does not show the recently promulgated ozone standard of 0.070 ppm ."
WI,61," The PolyMet Sulfide Copper Metal Mine is set to be built near the St. Louis River and Lake Superior Watersheds . Many of the animals which use the waters for drinking, swimming, bathing and food will be affected from runoff and pollution from mine ."
CR,59," Sohm: ""You are not entitled to interfere with our usufructuary rights to hunt, fish and gather our foods and medicines"" The NorthMet mine site is ceded land under the 1854 Treaty Authority . Sulfates are harmful to plant species and native wild rice, economically important to the Ojibwe people of northern Minnesota . 1854 Ceded Territory Treaty needs to be honored ."
ROD,39, The USFS should reject the proposed exchange of Superior National Forest lands for the PolyMet project . The land exchange would be in direct opposition to long-standing federal policy that protects wetlands . The exchange would mean the destruction of 700 acres of imperiled Black Spruce – Jack Pine Woodland .
WILD,24," The analysis concludes that PolyMet’s treatment and mitigation plans will prevent acid mine drainage and will meet all water quality standards . Thousands of visitors to the Superior National Forest and BWCAW seek solace in the wilderness, as it is one of the last areas in our Nation that is protected from pollution ."
VEG,22," The Floating Marsh Marigold is listed as endangered in Wisconsin where there is only one known population . Pollinators have become increasingly endangered as a result of habitat degradation . The EIS does not adequately address impacts to state listed plants, such as Clatha natans ."
AQ,21, FEIS has not rectified the deficiencies previously raised by WaterLegacy regarding impacts on aquatic life resulting from polluted seepage and discharge . FEIS states that an emergency overflow channel would be constructed to discharge untreated tailings pond water as a back up means of controlling pond levels in the event of “a probable maximum precipitation rainfall event or some fraction thereof” does not specify what “fraction” of a maximum rainfall event would require emergency discharge . The MPCA has assessed and identified waterbodies that are impaired for fish and/or benthic macroinvertebrate communities .
COE,18," PolyMet proposes the single largest permitted loss of wetlands in Minnesota history . EPA letter dated February 18, 2010 to USACE Re: PolyMet NorthMet Project: Wetlands . EPA finds project may have substantial and unacceptable adverse impacts on aquatic resources of national importance ."
HAZ,16," The citizens of Minnesota will end up paying the price for improperly . High levels of toxic metals and cancer causing materials present in the ore, tailings, and waste rock, including mineral fibers, dust containing high levels of nickel, chromium, and arsenic exceeding levels mandated protective controls . There is no specific approved disposal site identified for permanent disposal of hazardous wastes generated ."
LU,15, The proposed Polymet site has the potential to affect some of Minnesota's most wonderful and environmentally sensitive places . The responsible party for the LTVSMC tailings basin should be required to deal with the existing problems and final closure and recovery of the tailings basis area .
EDIT,3," I hope that the MDNR has the capacity to modify the ‘passive voice constructions’ in this FEIS . The financial assurance section should require funding of monitoring where noted in the MDO as a future possibility as a consideration of assurance . Not defining who monitors, or how often results in failure to fund monitoring to assure that potential compliance to state law becomes a certainty ."
N,3," Some distances and directions within the SDEIS appear to be inacurate . The tribal agencies believe it is indefensible to conclude that, amidst a “mining district” with multiple active mine facilities operating in close proximity, that there is no cumulative effect of heavy industrial and blasting noise ."
